Key,en-US,ru-RU,ja-JP,Context
MainMenu.Title,Ultimate Tic-Tac-Toe,Ультимативные крестики-нолики,究極の○×ゲーム,Main menu header
MainMenu.Play,Play,Играть,プレイ,Start game button (legacy)
MainMenu.StartButton,Play,Играть,プレイ,Start game button (current)
MainMenu.Settings,Settings,Настройки,設定,Settings button
MainMenu.Statistics,Statistics,Статистика,統計,Statistics button
MainMenu.Exit,Exit,Выход,終了,Exit button (legacy)
MainMenu.ExitButton,Exit,Выход,終了,Exit button (current)
MainMenu.CreateRoom,Create Room,Создать комнату,ルームを作成,Create room button
MainMenu.JoinRoom,Join Room,Присоединиться,ルームに参加,Join room button
MainMenu.QuickMatch,Quick Match,Быстрая игра,クイックマッチ,Quick match button
Settings.Title,Settings,Настройки,設定,Settings screen title
Settings.Language,Language,Язык,言語,Language selection label
Settings.EditPlayerName,Edit Player Name,Изменить имя игрока,プレイヤー名を変更,Open player name edit screen
Settings.Audio,Audio,Звук,オーディオ,Audio settings label
Settings.Volume,Volume: {volume}%,Громкость: {volume}%,音量: {volume}%,Volume display with placeholder
Settings.Back,Back,Назад,戻る,Back button
Game.YourTurn,Your Turn,Ваш ход,あなたのターン,Indicates player's turn
Game.OpponentTurn,"{playerName}'s Turn",Ход игрока {playerName},{playerName}のターン,Indicates opponent's turn
Game.PlayerTurn.Player1,Player 1 (X),Игрок 1 (X),プレイヤー1 (X),Turn indicator for player 1 in tic-tac-toe style HUD
Game.PlayerTurn.Player2,Player 2 (O),Игрок 2 (O),プレイヤー2 (O),Turn indicator for player 2 in tic-tac-toe style HUD
Game.Score,Score: {score},Счёт: {score},スコア: {score},Score display
Game.Timer,Time: {seconds}s,Время: {seconds}с,時間: {seconds}秒,Timer display
Game.Pause,Pause,Пауза,一時停止,Pause button
Game.Resume,Resume,Продолжить,再開,Resume button
Game.Surrender,Surrender,Сдаться,降参,Surrender button
GameOver.Victory,Victory!,Победа!,勝利！,Victory message
GameOver.Defeat,Defeat,Поражение,敗北,Defeat message
GameOver.Draw,Draw!,Ничья!,引き分け！,Draw message
GameOver.Win.Player1,Player 1 (X) Wins!,Игрок 1 (X) победил!,プレイヤー1 (X) の勝利！,Win message for player 1
GameOver.Win.Player2,Player 2 (O) Wins!,Игрок 2 (O) победил!,プレイヤー2 (O) の勝利！,Win message for player 2
GameOver.TimeoutWin.Player1,Player 1 (X) Wins by timeout!,Игрок 1 (X) победил по тайм-ауту!,プレイヤー1 (X) はタイムアウト勝ち！,Timeout win message for player 1
GameOver.TimeoutWin.Player2,Player 2 (O) Wins by timeout!,Игрок 2 (O) победил по тайм-ауту!,プレイヤー2 (O) はタイムアウト勝ち！,Timeout win message for player 2
GameOver.Rematch,Rematch,Реванш,再戦,Rematch button
GameOver.MainMenu,Main Menu,Главное меню,メインメニュー,Return to main menu
Lobby.WaitingForPlayers,Waiting for players...,Ожидание игроков...,プレイヤーを待っています...,Waiting status
Lobby.PlayerJoined,{playerName} joined,{playerName} присоединился,{playerName}が参加しました,Player joined notification
Lobby.PlayerLeft,{playerName} left,{playerName} вышел,{playerName}が退出しました,Player left notification
Lobby.Ready,Ready,Готов,準備完了,Ready button
Lobby.Cancel,Cancel,Отмена,キャンセル,Cancel button
Common.Loading,Loading...,Загрузка...,読み込み中...,Loading indicator
Common.Connecting,Connecting...,Подключение...,接続中...,Connecting indicator
Common.Yes,Yes,Да,はい,Confirmation
Common.No,No,Нет,いいえ,Decline
Common.Ok,OK,ОК,OK,Acknowledgment
Common.Cancel,Cancel,Отмена,キャンセル,Cancel action
Common.Player,Player,Игрок,プレイヤー,Default local player display name without slot number
Board.SelectCell,Select a cell,Выберите клетку,マスを選択,Instruction to select
Board.InvalidMove,Invalid move,Недопустимый ход,無効な手,Invalid move error
Board.LocalBoardWon,Local board won!,Локальное поле выиграно!,ローカルボード勝利！,Local board win message
Board.LocalBoardDraw,Local board draw,Ничья на локальном поле,ローカルボード引き分け,Local board draw message
Board.MustPlayInBoard,You must play in board {boardIndex},Вы должны сыграть на поле {boardIndex},ボード{boardIndex}でプレイする必要があります,Board restriction message
Board.AnyBoardAvailable,Play in any available board,Играйте на любом доступном поле,利用可能な任意のボードでプレイ,Any board available message
Turn.Timeout,Turn timeout!,Время хода истекло!,ターンタイムアウト！,Turn timeout message
Turn.TimeRemaining,{seconds}s remaining,Осталось {seconds}с,残り{seconds}秒,Time remaining display
Game.TicTacToe,Tic-Tac-Toe,Крестики-нолики,○×ゲーム,Game catalog: TicTacToe display name
Game.Description.TicTacToe,Classic and Ultimate Tic-Tac-Toe,Крестики-нолики — классика и ультимейт,○×ゲーム — クラシックとアルティメット,Game catalog: TicTacToe description
Game.UltimateTicTacToe.Name,Ultimate Tic-Tac-Toe,Ультимативные крестики-нолики,究極の○×ゲーム,Game catalog: Ultimate Tic-Tac-Toe display name
